Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 96.54934437543133, 86.66489749883898, 75.53485162180814, 21.014492753623188, 10000
2, 83.98058252427184, 86.66489749883898, 33.91123439667129, 50.069348127600556, 10000
3, 88.86361051074964, 86.66489749883898, 58.90114890228643, 29.962461608463204, 10000
4, 92.26436349981225, 86.66489749883898, 80.51070221554639, 11.753661284265865, 10000
1, 99.4824016563147, 91.49140847873682, 75.53485162180814, 23.947550034506556, 100000
2, 97.91955617198336, 91.49140847873682, 33.91123439667129, 64.00832177531207, 100000
3, 96.30303719713343, 91.49140847873682, 57.82049823683313, 38.4825389603003, 100000
4, 92.33946676680435, 91.49140847873682, 80.51070221554639, 11.82876455125798, 100000
1, 99.62042788129745, 91.62409606581305, 75.53485162180814, 24.0855762594893, 150000
2, 97.0873786407767, 91.62409606581305, 33.91123439667129, 63.176144244105416, 150000
3, 95.80252530997612, 91.62409606581305, 58.90114890228643, 36.90137640768968, 150000
4, 94.74277131055202, 91.62409606581305, 80.51070221554639, 14.232069095005635, 150000
1, 99.65493443754313, 92.45007629536258, 75.53485162180814, 24.12008281573499, 300000
2, 98.40499306518724, 92.45007629536258, 33.91123439667129, 64.49375866851595, 300000
3, 95.79683767489477, 92.45007629536258, 58.90114890228643, 36.895688772608345, 300000
4, 98.64814119414194, 92.45007629536258, 80.51070221554639, 18.13743897859557, 300000
